platform,device,suite,source,document_type,language,method,backend,status,initialization_seconds,warm_median_seconds,warm_range_seconds,warm_operation_counts,peak_process_rss_mib,pytorch_allocator_peak_mib,pytorch_allocator_peak_status,cer,cer_ns,cer_bag
macos-arm64,cpu,language,pdf/ar-clean.pdf,scanned-pdf,arabic,ocr,ocrmac,success,,0.190934729,0.007905854500000004,2;2;2,3822.296875,,not-applicable-for-cpu,0.006944444444444444,0.008298755186721992,0.008298755186721992
macos-arm64,cpu,language,pdf/de-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.5599535,0.023464542000000033,1;1;1,2131.28125,,not-applicable-for-cpu,0.0,0.0,0.0
macos-arm64,cpu,language,pdf/de-clean.pdf,scanned-pdf,latin,ocr,ocrmac,success,,0.197041021,0.004643708499999982,2;2;2,2121.4375,,not-applicable-for-cpu,0.0,0.0,0.0
macos-arm64,cpu,language,pdf/en-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.569070417,0.010048292000000014,1;1;1,2131.640625,,not-applicable-for-cpu,0.0,0.0,0.0
macos-arm64,cpu,language,pdf/en-clean.pdf,scanned-pdf,latin,ocr,ocrmac,success,,0.1988411455,0.005435437500000001,2;2;2,2144.515625,,not-applicable-for-cpu,0.0,0.0,0.0
macos-arm64,cpu,language,pdf/ja-clean.pdf,scanned-pdf,japanese,docling+ocr,docling+ocr,success,1.636539875,0.665972917,0.030511500000000025,1;1;1,2651.109375,,not-applicable-for-cpu,0.08522727272727272,0.006535947712418301,0.006535947712418301
macos-arm64,cpu,language,pdf/ja-clean.pdf,scanned-pdf,japanese,ocr,ocrmac,success,,0.329885667,0.012796291000000015,1;1;1,2283.84375,,not-applicable-for-cpu,0.07954545454545454,0.013071895424836602,0.013071895424836602
macos-arm64,cpu,language,pdf/ko-clean.pdf,scanned-pdf,korean,docling+ocr,docling+ocr,success,1.777957959,0.631192667,0.006008666000000051,1;1;1,3475.828125,,not-applicable-for-cpu,0.005,0.0,0.0
macos-arm64,cpu,language,pdf/ko-clean.pdf,scanned-pdf,korean,ocr,ocrmac,success,,0.324977667,0.006462834000000028,1;1;1,3108.453125,,not-applicable-for-cpu,0.005,0.0,0.0
macos-arm64,cpu,language,pdf/ru-clean.pdf,scanned-pdf,cyrillic,docling+ocr,docling+ocr,success,1.718697125,0.538327708,0.010116375000000066,1;1;1,3826.296875,,not-applicable-for-cpu,0.2991202346041056,0.2935153583617747,0.0
macos-arm64,cpu,language,pdf/ru-clean.pdf,scanned-pdf,cyrillic,ocr,ocrmac,success,,0.1995844165,0.007243916500000003,2;2;2,3500.40625,,not-applicable-for-cpu,0.0,0.0,0.0
macos-arm64,cpu,language,pdf/th-clean.pdf,scanned-pdf,thai,docling+ocr,docling+ocr,success,2.101871916,0.689478,0.018830374999999955,1;1;1,2280.65625,,not-applicable-for-cpu,0.003194888178913738,0.003401360544217687,0.003401360544217687
macos-arm64,cpu,language,pdf/th-clean.pdf,scanned-pdf,thai,ocr,ocrmac,success,,0.378765875,0.006086749999999974,1;1;1,2142.265625,,not-applicable-for-cpu,0.003194888178913738,0.003401360544217687,0.003401360544217687
macos-arm64,cpu,language,pdf/vi-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.571816375,0.017518790999999978,1;1;1,2134.046875,,not-applicable-for-cpu,0.35294117647058826,0.3582089552238806,0.0
macos-arm64,cpu,language,pdf/vi-clean.pdf,scanned-pdf,latin,ocr,ocrmac,success,,0.223917271,0.002367083499999978,2;2;2,2133.53125,,not-applicable-for-cpu,0.023529411764705882,0.029850746268656716,0.029850746268656716
macos-arm64,cpu,language,pdf/zh-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,1.494836042,0.50073425,0.0021320839999999786,1;1;1,3046.421875,,not-applicable-for-cpu,0.07913669064748201,0.01652892561983471,0.01652892561983471
macos-arm64,cpu,language,pdf/zh-clean.pdf,scanned-pdf,chinese,ocr,ocrmac,success,,0.196067125,0.006454041500000007,2;2;2,2681.8125,,not-applicable-for-cpu,0.08633093525179857,0.024793388429752067,0.024793388429752067
macos-arm64,cpu,language,pdf/zt-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,,0.503550417,0.0016064590000000045,1;1;1,3075.9375,,not-applicable-for-cpu,0.539568345323741,0.5041322314049587,0.024793388429752067
macos-arm64,cpu,language,pdf/zt-clean.pdf,scanned-pdf,chinese,ocr,ocrmac,success,,0.1921706875,0.01015604149999999,2;2;2,3039.953125,,not-applicable-for-cpu,0.07913669064748201,0.01652892561983471,0.01652892561983471
macos-arm64,mps,format,image-bmp.bmp,image,latin,docling+ocr,docling+ocr,success,13.33514125,0.2007333335,0.005279771000000016,2;2;2,1128.21875,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-jpeg.jpeg,image,latin,docling+ocr,docling+ocr,success,,0.214786021,0.0016854790000000175,2;2;2,1151.859375,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-jpg.jpg,image,latin,docling+ocr,docling+ocr,success,,0.214584208,0.004733062499999996,2;2;2,1151.90625,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-png.png,image,latin,docling+ocr,docling+ocr,success,,0.1979087915,0.003771207999999998,2;2;2,1151.84375,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-tif.tif,image,latin,docling+ocr,docling+ocr,success,,0.200167979,0.0022276875000000196,2;2;2,1156.640625,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-tiff.tiff,image,latin,docling+ocr,docling+ocr,success,,0.1995682705,0.004794582999999991,2;2;2,1156.65625,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,image-webp.webp,image,latin,docling+ocr,docling+ocr,success,,0.2114364795,0.004984937999999994,2;2;2,1157.5625,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,pdf-born-digital.pdf,born-digital-pdf,,docling,docling,success,1.488820834,0.12373147200000001,0.0006872083333333417,3;3;3,1334.140625,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,format,pdf-scanned.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.1911885205,0.0018864789999999965,2;2;2,1339.09375,,mps-has-no-peak-allocator-api,,,
macos-arm64,mps,language,pdf/ar-clean.pdf,scanned-pdf,arabic,docling+ocr,docling+ocr,success,2.165801833,0.3321275,0.016526123999999975,1;1;1,1172.171875,,mps-has-no-peak-allocator-api,0.3819444444444444,0.3817427385892116,0.008298755186721992
macos-arm64,mps,language,pdf/de-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.351079208,0.007771707999999988,1;1;1,1420.546875,,mps-has-no-peak-allocator-api,0.0,0.0,0.0
macos-arm64,mps,language,pdf/en-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.351643417,0.01223620799999997,1;1;1,1399.90625,,mps-has-no-peak-allocator-api,0.0,0.0,0.0
macos-arm64,mps,language,pdf/ja-clean.pdf,scanned-pdf,japanese,docling+ocr,docling+ocr,success,1.973866375,0.509391833,0.025554958000000072,1;1;1,1349.71875,,mps-has-no-peak-allocator-api,0.08522727272727272,0.006535947712418301,0.006535947712418301
macos-arm64,mps,language,pdf/ko-clean.pdf,scanned-pdf,korean,docling+ocr,docling+ocr,success,2.079029375,0.461792292,0.04067283300000002,1;1;1,1533.609375,,mps-has-no-peak-allocator-api,0.005,0.0,0.0
macos-arm64,mps,language,pdf/ru-clean.pdf,scanned-pdf,cyrillic,docling+ocr,docling+ocr,success,2.135112625,0.377094792,0.00626791600000004,1;1;1,1000.734375,,mps-has-no-peak-allocator-api,0.2991202346041056,0.2935153583617747,0.0
macos-arm64,mps,language,pdf/th-clean.pdf,scanned-pdf,thai,docling+ocr,docling+ocr,success,1.850142208,0.525983875,0.030062083000000017,1;1;1,1445.609375,,mps-has-no-peak-allocator-api,0.003194888178913738,0.003401360544217687,0.003401360544217687
macos-arm64,mps,language,pdf/vi-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,0.359374208,0.0069686670000000395,1;1;1,1421.734375,,mps-has-no-peak-allocator-api,0.35294117647058826,0.3582089552238806,0.0
macos-arm64,mps,language,pdf/zh-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,1.616964667,0.333861708,0.0011950839999999574,1;1;1,1532.078125,,mps-has-no-peak-allocator-api,0.07913669064748201,0.01652892561983471,0.01652892561983471
macos-arm64,mps,language,pdf/zt-clean.pdf,scanned-pdf,chinese,docling+ocr,docling+ocr,success,,0.3308215,0.0021145010000000464,1;1;1,1562.5,,mps-has-no-peak-allocator-api,0.539568345323741,0.5041322314049587,0.024793388429752067
ubuntu-gtx1060,cpu,format,data-json.json,direct-text,,default,plain,success,,0.00010562085889311365,4.015519276784246e-06,2308;2367;2396,23.96484375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,data-xml.xml,direct-text,,default,plain,success,,0.00010534623631002529,4.887184584770411e-06,2374;2339;2451,25.3671875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,data-yaml.yaml,direct-text,,default,plain,success,,0.00010145017444219067,3.4325028255800864e-06,2390;2471;2465,25.9375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,data-yml.yml,direct-text,,default,plain,success,,0.00010336117858619266,4.832562035448845e-06,2332;2419;2442,26.4921875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,ebook.epub,office-web,,default,markitdown,success,,0.038101143428571425,0.12159917213333335,7;3;9;3;10;3;10,256.2578125,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,email.msg,office-web,,default,markitdown,success,,0.1215579112,0.4738638588181818,1;8;4;11;1;7;5,321.77734375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-bmp.bmp,image,latin,docling+ocr,docling+ocr,success,573.088244666,1.934806749,6.456314758,1;1;1;1;1;1;1,2025.015625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-bmp.bmp,image,latin,ocr,rapidocr,success,,2.048244064,0.9257741310000003,1;1;1;1;1;1;1,490.10546875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-jpeg.jpeg,image,latin,docling+ocr,docling+ocr,success,,1.692032778,0.02352021900000012,1;1;1,2079.984375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-jpeg.jpeg,image,latin,ocr,rapidocr,success,,2.545582689,3.18728517,1;1;1;1;1;1;1,2133.7890625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-jpg.jpg,image,latin,docling+ocr,docling+ocr,success,,1.662797191,0.06064631399999998,1;1;1,2059.00390625,,not-applicable-for-cpu,,,
